股票代码,股票名称,生效日期,失效日期
600068,葛洲坝,2018-01-02,2018-01-31
600074,*ST保千,2018-01-02,2018-01-31
600085,同仁堂,2018-01-02,2018-01-31
600089,特变电工,2018-01-02,2018-01-31
600100,同方股份,2018-01-02,2018-01-31
600104,上汽集团,2018-01-02,2018-01-31
600109,国金证券,2018-01-02,2018-01-31
600111,北方稀土,2018-01-02,2018-01-31
600115,东方航空,2018-01-02,2018-01-31
600118,中国卫星,2018-01-02,2018-01-31
600153,建发股份,2018-01-02,2018-01-31
600157,永泰能源,2018-01-02,2018-01-31
600170,上海建工,2018-01-02,2018-01-31
600177,雅戈尔,2018-01-02,2018-01-31
600188,兖州煤业,2018-01-02,2018-01-31
600196,复星医药,2018-01-02,2018-01-31
600208,新湖中宝,2018-01-02,2018-01-31
600219,南山铝业,2018-01-02,2018-01-31
600221,海航控股,2018-01-02,2018-01-31
600233,圆通速递,2018-01-02,2018-01-31
600271,航天信息,2018-01-02,2018-01-31
600276,恒瑞医药,2018-01-02,2018-01-31
600297,广汇汽车,2018-01-02,2018-01-31
600309,万华化学,2018-01-02,2018-01-31
600332,白云山,2018-01-02,2018-01-31
600340,华夏幸福,2018-01-02,2018-01-31
600352,浙江龙盛,2018-01-02,2018-01-31
600362,江西铜业,2018-01-02,2018-01-31
600369,西南证券,2018-01-02,2018-01-31
600372,中航电子,2018-01-02,2018-01-31
600373,中文传媒,2018-01-02,2018-01-31
600376,首开股份,2018-01-02,2018-01-31
600383,金地集团,2018-01-02,2018-01-31
600390,五矿资本,2018-01-02,2018-01-31
600406,国电南瑞,2018-01-02,2018-01-31
600415,小商品城,2018-01-02,2018-01-31
600436,片仔癀,2018-01-02,2018-01-31
600482,中国动力,2018-01-02,2018-01-31
600485,信威集团,2018-01-02,2018-01-31
600489,中金黄金,2018-01-02,2018-01-31
600498,烽火通信,2018-01-02,2018-01-31
600518,康美药业,2018-01-02,2018-01-31
600519,贵州茅台,2018-01-02,2018-01-31
600522,中天科技,2018-01-02,2018-01-31
600535,天士力,2018-01-02,2018-01-31
600547,山东黄金,2018-01-02,2018-01-31
600549,厦门钨业,2018-01-02,2018-01-31
600570,恒生电子,2018-01-02,2018-01-31
600583,海油工程,2018-01-02,2018-01-31
600585,海螺水泥,2018-01-02,2018-01-31
600588,用友网络,2018-01-02,2018-01-31
600606,绿地控股,2018-01-02,2018-01-31
600637,东方明珠,2018-01-02,2018-01-31
600649,城投控股,2018-01-02,2018-01-31
600660,福耀玻璃,2018-01-02,2018-01-31
600663,陆家嘴,2018-01-02,2018-01-31
600674,川投能源,2018-01-02,2018-01-31
600682,南京新百,2018-01-02,2018-01-31
600685,中船防务,2018-01-02,2018-01-31
600688,上海石化,2018-01-02,2018-01-31
600690,青岛海尔,2018-01-02,2018-01-31
600703,三安光电,2018-01-02,2018-01-31
600704,物产中大,2018-01-02,2018-01-31
600705,中航资本,2018-01-02,2018-01-31
600739,辽宁成大,2018-01-02,2018-01-31
600741,华域汽车,2018-01-02,2018-01-31
600795,国电电力,2018-01-02,2018-01-31
600804,鹏博士,2018-01-02,2018-01-31
600816,安信信托,2018-01-02,2018-01-31
600820,隧道股份,2018-01-02,2018-01-31
600827,百联股份,2018-01-02,2018-01-31
600837,海通证券,2018-01-02,2018-01-31
600871,*ST油服,2018-01-02,2018-01-31
600886,国投电力,2018-01-02,2018-01-31
600887,伊利股份,2018-01-02,2018-01-31
600893,航发动力,2018-01-02,2018-01-31
600895,张江高科,2018-01-02,2018-01-31
600900,长江电力,2018-01-02,2018-01-31
600909,华安证券,2018-01-02,2018-01-31
600919,江苏银行,2018-01-02,2018-01-31
600926,杭州银行,2018-01-02,2018-01-31
600958,东方证券,2018-01-02,2018-01-31
600959,江苏有线,2018-01-02,2018-01-31
